net1,net2,top,dyn
1221,2256,0.0,4.69041575982343
1221,2261,0.0,4.69041575982343
1221,2262,0.0,4.69041575982343
1221,2281,1.7320508075688772,4.47213595499958
1221,2291,1.7320508075688772,4.898979485566356
1221,2271,2.0,4.47213595499958
1221,2201,1.0,4.242640687119285
1221,2202,1.0,4.242640687119285
1221,2421,1.4142135623730951,5.291502622129181
1221,2441,1.0,5.0990195135927845
1221,2442,1.0,5.477225575051661
1221,2431,1.0,5.0990195135927845
1221,2432,1.0,5.0990195135927845
1221,2451,1.7320508075688772,4.47213595499958
1221,2461,1.4142135623730951,4.242640687119285
1221,2462,1.4142135623730951,4.69041575982343
1221,2471,1.4142135623730951,4.69041575982343
1221,2472,1.4142135623730951,4.69041575982343
1221,2341,1.4142135623730951,4.898979485566356
1221,2331,1.7320508075688772,4.898979485566356
1221,2351,1.4142135623730951,5.291502622129181
1221,2361,1.7320508075688772,4.898979485566356
1221,2381,1.4142135623730951,4.69041575982343
1221,2382,1.4142135623730951,5.0990195135927845
1221,2371,1.4142135623730951,4.69041575982343
1221,2372,1.4142135623730951,4.69041575982343
1221,2521,1.0,4.69041575982343
1221,2522,1.0,5.0990195135927845
1221,2531,1.0,5.0990195135927845
1221,2532,1.0,5.0990195135927845
1221,2511,1.4142135623730951,4.898979485566356
1221,2151,1.0,4.898979485566356
1221,2161,0.0,4.69041575982343
1221,2162,0.0,4.69041575982343
1221,2181,1.4142135623730951,4.0
1221,2191,1.0,3.4641016151377544
1221,2192,1.0,3.7416573867739413
1221,2193,1.0,3.7416573867739413
1221,2194,1.0,3.7416573867739413
1221,2195,1.0,3.7416573867739413
1221,2196,1.0,4.242640687119285
1221,2111,1.0,4.242640687119285
1221,2112,1.0,4.69041575982343
1221,2171,0.0,4.69041575982343
1221,2172,0.0,5.0990195135927845
1221,2101,1.0,4.242640687119285
1221,2102,1.0,4.242640687119285
1221,2021,1.4142135623730951,4.47213595499958
1221,2061,1.4142135623730951,4.47213595499958
1221,2081,1.0,4.898979485566356
1221,2091,1.4142135623730951,4.47213595499958
1221,2011,1.4142135623730951,4.0
1221,2071,1.0,4.47213595499958
1221,2001,1.7320508075688772,4.0
1221,3241,1.0,5.291502622129181
1221,3251,0.0,5.0990195135927845
1221,3252,0.0,5.477225575051661
1221,3261,0.0,5.477225575051661
1221,3262,0.0,5.477225575051661
1221,3281,1.7320508075688772,4.47213595499958
1221,3291,1.7320508075688772,4.898979485566356
1221,3271,2.0,4.47213595499958
1221,3201,1.0,5.0990195135927845
1221,3202,1.0,5.0990195135927845
1221,3421,1.4142135623730951,5.291502622129181
1221,3441,1.0,5.0990195135927845
1221,3442,1.0,5.477225575051661
1221,3431,1.0,5.0990195135927845
1221,3432,1.0,5.0990195135927845
1221,3451,1.7320508075688772,4.47213595499958
1221,3461,1.4142135623730951,4.242640687119285
1221,3462,1.4142135623730951,4.69041575982343
1221,3471,1.4142135623730951,4.69041575982343
1221,3472,1.4142135623730951,4.898979485566356
1221,3473,1.4142135623730951,4.69041575982343
1221,3474,1.4142135623730951,4.69041575982343
1221,3475,1.4142135623730951,4.69041575982343
1221,3476,1.4142135623730951,5.0990195135927845
1221,3341,1.4142135623730951,4.898979485566356
